Year,Month,Consumption,State
2003,11,211494.0,Connecticut
2003,12,417404.0,Connecticut
2004,1,1103384.66,Connecticut
2004,2,108043.87,Connecticut
2004,3,173074.54,Connecticut
2004,4,138778.2,Connecticut
2004,5,90027.67,Connecticut
2004,6,216147.38,Connecticut
2004,7,246311.42,Connecticut
2004,8,313145.99,Connecticut
2004,9,130618.94,Connecticut
2004,10,73375.68,Connecticut
2004,11,51940.53,Connecticut
2004,12,242681.63,Connecticut
2005,1,871165.61,Connecticut
2005,2,116516.11,Connecticut
2005,3,418668.02,Connecticut
2005,4,350129.05,Connecticut
2005,5,45515.34,Connecticut
2005,6,470404.91,Connecticut
2005,7,595703.2,Connecticut
2005,8,687246.27,Connecticut
2005,9,486097.75,Connecticut
2005,10,758575.62,Connecticut
2005,11,93509.08,Connecticut
2005,12,495963.61,Connecticut
2006,1,75031.78,Connecticut
2006,2,94323.35,Connecticut
2006,3,85591.63,Connecticut
2006,4,60936.79,Connecticut
2006,5,80847.2,Connecticut
2006,6,189059.78,Connecticut
2006,7,400984.76,Connecticut
2006,8,331146.0,Connecticut
2006,9,179175.69,Connecticut
2006,10,360026.51,Connecticut
2006,11,296375.8,Connecticut
2006,12,175894.66,Connecticut
2007,1,297920.0,Connecticut
2007,2,347462.0,Connecticut
2007,3,327338.0,Connecticut
2007,4,112823.0,Connecticut
2007,5,110398.0,Connecticut
2007,6,151643.0,Connecticut
2007,7,160294.0,Connecticut
2007,8,183252.0,Connecticut
2007,9,127642.0,Connecticut
2007,10,161545.0,Connecticut
2007,11,34167.0,Connecticut
2007,12,326760.0,Connecticut
2001,1,25410.0,District of Columbia
2001,2,490.0,District of Columbia
2001,3,0.0,District of Columbia
2001,4,2630.0,District of Columbia
2001,5,15230.0,District of Columbia
2001,6,35210.0,District of Columbia
2001,7,60430.0,District of Columbia
2001,8,109770.0,District of Columbia
2001,9,0.0,District of Columbia
2001,10,8870.0,District of Columbia
2001,11,77990.0,District of Columbia
2001,12,0.0,District of Columbia
2002,1,0.0,District of Columbia
2002,2,13269.0,District of Columbia
2002,3,27074.0,District of Columbia
2002,4,51180.0,District of Columbia
2002,5,0.0,District of Columbia
2002,6,73995.0,District of Columbia
2002,7,229807.0,District of Columbia
2002,8,198110.0,District of Columbia
2002,9,10377.0,District of Columbia
2002,10,0.0,District of Columbia
2002,11,3210.0,District of Columbia
2002,12,13291.0,District of Columbia
2003,1,27060.0,District of Columbia
2003,2,33031.0,District of Columbia
2003,3,30493.0,District of Columbia
2003,4,2668.0,District of Columbia
2003,5,6169.0,District of Columbia
2003,6,11221.0,District of Columbia
2003,7,23778.0,District of Columbia
2003,8,55939.0,District of Columbia
2003,9,0.0,District of Columbia
2003,10,0.0,District of Columbia
2003,11,0.0,District of Columbia
2003,12,0.0,District of Columbia
2004,1,43902.0,District of Columbia
2004,2,6184.0,District of Columbia
2004,3,5166.0,District of Columbia
2004,4,404.0,District of Columbia
2004,5,11574.0,District of Columbia
2004,6,18871.0,District of Columbia
2004,7,11196.0,District of Columbia
2004,8,15064.0,District of Columbia
2004,9,4559.0,District of Columbia
2004,10,8.0,District of Columbia
2004,11,17.0,District of Columbia
2004,12,12767.0,District of Columbia
2005,1,13779.0,District of Columbia
2005,2,2091.0,District of Columbia
2005,3,0.0,District of Columbia
2005,4,0.0,District of Columbia
2005,5,577.0,District of Columbia
2005,6,98246.0,District of Columbia
2005,7,201784.0,District of Columbia
2005,8,158493.0,District of Columbia
2005,9,15039.0,District of Columbia
2005,10,28883.0,District of Columbia
2005,11,3660.0,District of Columbia
2005,12,17217.0,District of Columbia
2006,1,8642.0,District of Columbia
2006,2,7760.0,District of Columbia
2006,3,1114.0,District of Columbia
2006,4,2178.0,District of Columbia
2006,5,6642.0,District of Columbia
2006,6,13724.0,District of Columbia
2006,7,41605.0,District of Columbia
2006,8,136007.0,District of Columbia
2006,9,0.0,District of Columbia
2006,10,3493.0,District of Columbia
2006,11,0.0,District of Columbia
2006,12,9880.0,District of Columbia
2007,1,1800.0,District of Columbia
2007,2,8078.0,District of Columbia
2007,3,1633.0,District of Columbia
2007,4,3266.0,District of Columbia
2007,5,892.0,District of Columbia
2007,6,33959.0,District of Columbia
2007,7,24419.0,District of Columbia
2007,8,96336.0,District of Columbia
2007,9,14136.0,District of Columbia
2007,10,11239.0,District of Columbia
2007,11,0.0,District of Columbia
2007,12,1555.0,District of Columbia
2001,1,256313.0,Delaware
2001,2,122935.0,Delaware
2001,3,383708.0,Delaware
2001,4,365870.0,Delaware
2001,5,284332.0,Delaware
2001,6,234536.0,Delaware
2001,7,261637.0,Delaware
2001,8,399755.0,Delaware
2001,9,84680.0,Delaware
2001,10,274079.0,Delaware
2001,11,183521.0,Delaware
2001,12,110496.0,Delaware
2002,1,100310.0,Delaware
2002,2,66142.0,Delaware
2002,3,205917.0,Delaware
2002,4,134333.0,Delaware
2002,5,39049.0,Delaware
2002,6,132848.0,Delaware
2002,7,297390.0,Delaware
2002,8,251190.0,Delaware
2002,9,132187.0,Delaware
2002,10,140591.0,Delaware
2002,11,63528.0,Delaware
2002,12,92080.0,Delaware
2003,1,502257.0,Delaware
2003,2,496936.0,Delaware
2003,3,303692.0,Delaware
2003,4,224851.0,Delaware
2003,5,131608.0,Delaware
2003,6,214118.0,Delaware
2003,7,420095.0,Delaware
2003,8,349706.0,Delaware
2003,9,195273.0,Delaware
2003,10,141922.0,Delaware
2003,11,86597.0,Delaware
2003,12,73713.0,Delaware
2004,1,604748.19,Delaware
2004,2,72828.93,Delaware
2004,3,33564.51,Delaware
2004,4,208089.52,Delaware
2004,5,52852.12,Delaware
2004,6,50782.58,Delaware
2004,7,79590.8,Delaware
2004,8,56606.99,Delaware
2004,9,12184.83,Delaware
2004,10,16703.49,Delaware
2004,11,14602.56,Delaware
2004,12,207482.9,Delaware
2005,1,347098.17,Delaware
2005,2,23919.08,Delaware
2005,3,27727.92,Delaware
2005,4,26002.31,Delaware
2005,5,35171.8,Delaware
2005,6,212627.28,Delaware
2005,7,259041.85,Delaware
2005,8,225545.72,Delaware
2005,9,123690.52,Delaware
2005,10,92027.72,Delaware
2005,11,55347.84,Delaware
2005,12,322274.62,Delaware
2006,1,14373.69,Delaware
2006,2,12399.97,Delaware
2006,3,8707.61,Delaware
2006,4,14618.63,Delaware
2006,5,9310.38,Delaware
2006,6,14748.61,Delaware
2006,7,63243.1,Delaware
2006,8,71616.24,Delaware
2006,9,4877.12,Delaware
2006,10,14877.07,Delaware
2006,11,20186.13,Delaware
2006,12,22412.23,Delaware
2007,1,17951.0,Delaware
