line,MSN,StateCode,Year,Data,Description,Unit,Consume,price,expend,factor,produce,consumet,,
601492,LGRCP,GA,2000,4165.66119,LPG consumed by the residential sector.,Thousand barrels,1,,,,,4165.66119,,
606062,LGRFB,GA,2000,317.99684,LPG consumed as refinery fuel.,Billion Btu,1,,,,,317.99684,,
642622,LUACB,GA,2000,3908.88771,Lubricants consumed by the transportation sector.,Billion Btu,1,,,,,3908.88771,,
647302,LUACP,GA,2000,644.49921,Lubricants consumed by the transportation sector.,Thousand barrels,1,,,,,644.49921,,
651982,LUICB,GA,2000,3999.6602,Lubricants consumed by the industrial sector.,Billion Btu,1,,,,,3999.6602,,
656662,LUICP,GA,2000,659.46582,Lubricants consumed by the industrial sector.,Thousand barrels,1,,,,,659.46582,,
680062,MBICB,GA,2000,0,Motor gasoline blending components consumed by the industrial sector.,Billion Btu,1,,,,,0,,
682662,MBICP,GA,2000,0,Motor gasoline blending components consumed by the industrial sector.,Thousand barrels,1,,,,,0,,
685262,MGACB,GA,2000,572661.2348,Motor gasoline consumed by the transportation sector.,Billion Btu,1,,,,,572661.2348,,
689942,MGACP,GA,2000,109915.784,Motor gasoline consumed by the transportation sector.,Thousand barrels,1,,,,,109915.784,,
694555,MGCCB,GA,2000,1160.60919,Motor gasoline consumed by the commercial sector.,Billion Btu,1,,,,,1160.60919,,
699235,MGCCP,GA,2000,222.76568,Motor gasoline consumed by the commercial sector.,Thousand barrels,1,,,,,222.76568,,
703915,MGICB,GA,2000,5109.43038,Motor gasoline consumed by the industrial sector.,Billion Btu,1,,,,,5109.43038,,
708595,MGICP,GA,2000,980.69681,Motor gasoline consumed by the industrial sector.,Thousand barrels,1,,,,,980.69681,,
734645,MSICB,GA,2000,1925.51773,Miscellaneous petroleum products consumed by the industrial sector.,Billion Btu,1,,,,,1925.51773,,
739325,MSICP,GA,2000,332.21493,Miscellaneous petroleum products consumed by the industrial sector.,Thousand barrels,1,,,,,332.21493,,
744005,NAICB,GA,2000,0,Natural gasoline consumed by the industrial sector.,Billion Btu,1,,,,,0,,72166.10373
746605,NAICP,GA,2000,0,Natural gasoline consumed by the industrial sector.,Thousand barrels,1,,,,,0,,
749205,NGACB,GA,2000,6206.024,Natural gas consumed by the transportation sector. ,Billion Btu,1,,,,,6206.024,,
753885,NGACP,GA,2000,6094.91372,Natural gas consumed by the transportation sector.,Million cubic feet,1,,,,,6094.91372,,
758565,NGCCB,GA,2000,59865.16601,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Billion Btu,1,,,,,59865.16601,,
763245,NGCCP,GA,2000,58793.363,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Million cubic feet,1,,,,,58793.363,,
767925,NGEIB,GA,2000,42703.96202,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Billion Btu,1,,,,,42703.96202,,
775205,NGEIP,GA,2000,42033.941,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Million cubic feet,1,,,,,42033.941,,
779885,NGICB,GA,2000,169154.6664,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Billion Btu,1,,,,,169154.6664,,
784565,NGICP,GA,2000,166126.186,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Million cubic feet,1,,,,,166126.186,,
789135,NGISB,GA,2000,157619.2579,Natural gas consumed by the industrial sector excluding refinery fuel (including supplemental gaseous fuels).,Billion Btu,1,,,,,157619.2579,,
791325,NGLPB,GA,2000,0,Natural gas consumed as lease and plant fuel.,Billion Btu,1,,,,,0,,
793925,NGLPP,GA,2000,0,Natural gas consumed as lease and plant fuel.,Million cubic feet,1,,,,,0,,
804325,NGPZB,GA,2000,5738.33597,Natural gas consumed as pipeline fuel.,Billion Btu,1,,,,,5738.33597,,
806925,NGPZP,GA,2000,5635.599,Natural gas consumed as pipeline fuel.,Million cubic feet,1,,,,,5635.599,,
809525,NGRCB,GA,2000,143405.6386,Natural gas consumed by (delivered to) the residential sector (including supplemental gaseous fuels).,Billion Btu,1,,,,,143405.6386,,
814205,NGRCP,GA,2000,140838.159,Natural gas consumed by (delivered to) the residential sector (including supplemental gaseous fuels).,Million cubic feet,1,,,,,140838.159,,
818775,NGRFB,GA,2000,11535.40852,Natural gas consumed as refinery fuel (including supplemental gaseous fuels). ,Billion Btu,1,,,,,11535.40852,,
844885,NGVHB,GA,2000,467.68803,Natural gas consumed as vehicle fuel.,Billion Btu,1,,,,,467.68803,,
847485,NGVHP,GA,2000,459.31472,Natural gas consumed as vehicle fuel.,Million cubic feet,1,,,,,459.31472,,
850085,NNACB,GA,2000,6206.024,Natural gas consumed by the transportation sector.  (Code used in SEDS 2006.),Billion Btu,1,,,,,6206.024,,
852685,NNCCB,GA,2000,59854.46126,Natural gas consumed by (delivered to) the commercial sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu,1,,,,,59854.46126,,
855285,NNEIB,GA,2000,42696.32594,Natural gas consumed by the electric power sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu,1,,,,,42696.32594,,
857885,NNICB,GA,2000,169124.4191,Natural gas consumed by (delivered to) the industrial sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu,1,,,,,169124.4191,,
860485,NNRCB,GA,2000,143379.9957,Natural gas consumed by (delivered to) the residential sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu,1,,,,,143379.9957,,
884455,P1ICB,GA,2000,84406.60297,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.",Billion Btu,1,,,,,84406.60297,,
889135,P1ICP,GA,2000,14147.37587,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.",Thousand barrels,1,,,,,14147.37587,,
912425,P5RFB,GA,2000,5890.70144,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).",Billion Btu,1,,,,,5890.70144,,
914615,PAACB,GA,2000,853579.4681,All petroleum products consumed by the transportation sector.,Billion Btu,1,,,,,853579.4681,,
919345,PAACP,GA,2000,158456.366,All petroleum products consumed by the transportation sector.,Thousand barrels,1,,,,,158456.366,,
924025,PACCB,GA,2000,13429.28892,All petroleum products consumed by the commercial sector.,Billion Btu,1,,,,,13429.28892,,
928755,PACCP,GA,2000,2836.08931,All petroleum products consumed by the commercial sector.,Thousand barrels,1,,,,,2836.08931,,
933435,PAEIB,GA,2000,9539.60319,All petroleum products consumed by the electric power sector.,Billion Btu,1,,,,,9539.60319,,
938165,PAEIP,GA,2000,1591.486,All petroleum products consumed by the electric power sector.,Thousand barrels,1,,,,,1591.486,,
942895,PAICB,GA,2000,148021.7778,All petroleum products consumed by the industrial sector.,Billion Btu,1,,,,,148021.7778,,
947625,PAICP,GA,2000,26400.98719,All petroleum products consumed by the industrial sector.,Thousand barrels,1,,,,,26400.98719,,
957505,PARCB,GA,2000,16564.40887,All petroleum products consumed by the residential sector.,Billion Btu,1,,,,,16564.40887,,
962235,PARCP,GA,2000,4435.10971,All petroleum products consumed by the residential sector.,Thousand barrels,1,,,,,4435.10971,,
985685,PCCCB,GA,2000,0,Petroleum coke consumed by the commercial sector.,Billion Btu,1,,,,,0,,
990365,PCCCP,GA,2000,0,Petroleum coke consumed by the commercial sector.,Thousand barrels,1,,,,,0,,
995045,PCEIB,GA,2000,0,Petroleum coke consumed by the electric power sector.,Billion Btu,1,,,,,0,,
999725,PCEIP,GA,2000,0,Petroleum coke consumed by the electric power sector.,Thousand barrels,1,,,,,0,,
1004405,PCICB,GA,2000,8298.06,Petroleum coke consumed by the industrial sector.,Billion Btu,1,,,,,8298.06,,
1009085,PCICP,GA,2000,1377.5,Petroleum coke consumed by the industrial sector.,Thousand barrels,1,,,,,1377.5,,
1015845,PCRFB,GA,2000,0,Petroleum coke consumed as refinery fuel.,Billion Btu,1,,,,,0,,
1056925,PLICB,GA,2000,0,Plant condensate consumed by the industrial sector.,Billion Btu,1,,,,,0,,
1059525,PLICP,GA,2000,0,Plant condensate consumed by the industrial sector.,Thousand barrels,1,,,,,0,,
1064725,POICB,GA,2000,42728.56022,Other petroleum products consumed by the industrial sector.,Billion Btu,1,,,,,42728.56022,,
1069405,POICP,GA,2000,7804.08807,Other petroleum products consumed by the industrial sector.,Thousand barrels,1,,,,,7804.08807,,
1092805,PPICB,GA,2000,5542.99543,Pentanes plus consumed by the industrial sector.,Billion Btu,1,,,,,5542.99543,,
1095405,PPICP,GA,2000,1199.78256,Pentanes plus consumed by the industrial sector.,Thousand barrels,1,,,,,1199.78256,,
1103205,RFACB,GA,2000,5171.79622,Residual fuel oil consumed by the transportation sector.,Billion Btu,1,,,,,5171.79622,,
1107885,RFACP,GA,2000,822.6175,Residual fuel oil consumed by the transportation sector.,Thousand barrels,1,,,,,822.6175,,
1112565,RFCCB,GA,2000,30.182,Residual fuel oil consumed by the commercial sector.,Billion Btu,1,,,,,30.182,,
1117245,RFCCP,GA,2000,4.8007,Residual fuel oil consumed by the commercial sector.,Thousand barrels,1,,,,,4.8007,,
1121925,RFEIB,GA,2000,3663.29659,Residual fuel oil consumed by the electric power sector.,Billion Btu,1,,,,,3663.29659,,
1126605,RFEIP,GA,2000,582.678,Residual fuel oil consumed by the electric power sector.,Thousand barrels,1,,,,,582.678,,
1131285,RFICB,GA,2000,8170.60394,Residual fuel oil consumed by the industrial sector.,Billion Btu,1,,,,,8170.60394,,
1135965,RFICP,GA,2000,1299.60298,Residual fuel oil consumed by the industrial sector,Thousand barrels,1,,,,,1299.60298,,
1140535,RFISB,GA,2000,5497.89122,Residual fuel oil consumed by the industrial sector excluding refinery fuel.,Billion Btu,1,,,,,5497.89122,,
1142615,RFRFB,GA,2000,2672.71272,Residual fuel oil consumed as refinery fuel.,Billion Btu,1,,,,,2672.71272,,
1165905,SFCCB,GA,2000,10.70475,Supplemental gaseous fuels consumed by the commercial sector.,Billion Btu,1,,,,,10.70475,,
1167465,SFEIB,GA,2000,7.63608,Supplemental gaseous fuels consumed by the electric power sector.,Billion Btu,1,,,,,7.63608,,
1169025,SFINB,GA,2000,30.24729,Supplemental gaseous fuels consumed by the industrial sector.,Billion Btu,1,,,,,30.24729,,
1170585,SFRCB,GA,2000,25.64298,Supplemental gaseous fuels consumed by the residential sector.,Billion Btu,1,,,,,25.64298,,
1173925,SGICB,GA,2000,479.17548,Still gas consumed by the industrial sector.,Billion Btu,1,,,,,479.17548,,
1176525,SGICP,GA,2000,79.86258,Still gas consumed by the industrial sector.,Thousand barrels,1,,,,,79.86258,,
1179125,SNICB,GA,2000,3643.45307,Special naphthas consumed by the industrial sector.,Billion Btu,1,,,,,3643.45307,,
1183805,SNICP,GA,2000,694.25554,Special naphthas consumed by the industrial sector.,Thousand barrels,1,,,,,694.25554,,
1193685,SOHCB,GA,2000,236.05844,Solar thermal energy consumed by the residential and commercial sectors.,Billion Btu,1,,,,,236.05844,,
1201485,TEACB,GA,2000,860856.8636,Total energy consumed by the transportation sector.,Billion Btu,1,,,,,860856.8636,,
1208245,TECCB,GA,2000,503575.2494,Total energy consumed by the commercial sector.,Billion Btu,1,,,,,503575.2494,,
1215005,TEEIB,GA,2000,1184355.608,Total energy consumed by the electric power sector.,Billion Btu,1,,,,,1184355.608,,
1219685,TEICB,GA,2000,950760.115,Total energy consumed by the industrial sector.,Billion Btu,1,,,,,950760.115,,
1231125,TERCB,GA,2000,669965.397,Total energy consumed by the residential sector.,Billion Btu,1,,,,,669965.397,,
1246538,TETGR,GA,2000,9.05373,Total energy consumed per dollar of real gross domestic product.,Thousand Btu per chained (2000) dollar,1,,,,,9.05373,,
1259881,TNACB,GA,2000,860113.9604,Total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses.,Billion Btu,1,,,,,860113.9604,,
1262481,TNCCB,GA,2000,206907.6409,Total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses.,Billion Btu,1,,,,,206907.6409,,
1265081,TNICB,GA,2000,672289.9254,Total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses.,Billion Btu,1,,,,,672289.9254,,6132085.787
1267681,TNRCB,GA,2000,326096.6035,Total energy consumed by the residential sector excluding the sector's share of electrical system energy losses.,Billion Btu,1,,,,,326096.6035,,
1270171,TNSCB,GA,2000,2001425.046,Total primary energy and electricity consumed.,Billion Btu,1,,,,,2001425.046,,
1272361,TNTXB,GA,2000,2065408.13,Total primary energy and electricity consumed by the end-use sectors.,Billion Btu,1,,,,,2065408.13,,
1277561,UOICB,GA,2000,-132.73218,Unfinished oils consumed by the industrial sector.,Billion Btu,1,,,,,-132.73218,,
1280161,UOICP,GA,2000,-22.78664,Unfinished oils consumed by the industrial sector.,Thousand barrels,1,,,,,-22.78664,,
1282761,USICB,GA,2000,0,Unfractionated stream consumed by the industrial sector.,Billion Btu,1,,,,,0,,
1285361,USICP,GA,2000,0,Unfractionated stream consumed by the industrial sector.,Thousand barrels,1,,,,,0,,
1287961,WDCCB,GA,2000,2251.91749,Wood consumed by the commercial sector,Billion Btu,1,,,,,2251.91749,,
1290561,WDEIB,GA,2000,0,Wood and waste consumed by the electric power sector.,Billion Btu,1,,,,,0,,
1293161,WDICB,GA,2000,175240.6668,Wood consumed by the industrial sector.,Billion Btu,1,,,,,175240.6668,,
1295761,WDRCB,GA,2000,13789.8678,Wood consumed by the residential sector.,Billion Btu,1,,,,,13789.8678,,
1300441,WDRCP,GA,2000,689.49339,Wood consumed by the residential sector.,Thousand cords,1,,,,,689.49339,,
1305011,WDRSB,GA,2000,5391.83831,Wood consumed in the residential sector at a cost.,Billion Btu,1,,,,,5391.83831,,
1307091,WDRXB,GA,2000,8398.02949,Wood consumed in the residential sector at no cost.,Billion Btu,1,,,,,8398.02949,,
1309281,WSCCB,GA,2000,0,Waste consumed by the commercial sector,Billion Btu,1,,,,,0,,
1311881,WSEIB,GA,2000,96,Waste consumed by the electric power sector.,Billion Btu,1,,,,,96,,
1314481,WSICB,GA,2000,5505.99369,Waste consumed by the industrial sector.,Billion Btu,1,,,,,5505.99369,,
1317081,WWCCB,GA,2000,2251.91749,Wood and waste consumed by the commercial sector.,Billion Btu,1,,,,,2251.91749,,
1323731,WWCSB,GA,2000,880.49974,Wood and waste consumed in the commercial sector at a cost.,Billion Btu,1,,,,,880.49974,,
1325811,WWCXB,GA,2000,1371.41775,Wood and waste consumed in the commercial sector at no cost.,Billion Btu,1,,,,,1371.41775,,
1328001,WWEIB,GA,2000,96,Wood and waste consumed by the electric power sector.,Billion Btu,1,,,,,96,,
1334761,WWICB,GA,2000,180746.6605,Wood and waste consumed by the industrial sector.,Billion Btu,1,,,,,180746.6605,,
1341411,WWISB,GA,2000,156727.0046,Wood and waste consumed in the industrial sector at a cost.,Billion Btu,1,,,,,156727.0046,,
1343491,WWIXB,GA,2000,24019.65592,Wood and waste consumed in the industrial sector at no cost.,Billion Btu,1,,,,,24019.65592,,
1359201,WXICB,GA,2000,1395.7153,Waxes consumed by the industrial sector.,Billion Btu,1,,,,,1395.7153,,
1363881,WXICP,GA,2000,252.07067,Waxes consumed by the industrial sector.,Thousand barrels,1,,,,,252.07067,,
8297,ARICD,GA,2000,3.63453,Asphalt and road oil price in the industrial sector.,Dollars per million Btu,,1,,,,,,
12977,ARICV,GA,2000,136.1014,Asphalt and road oil expenditures in the industrial sector.,Million dollars,,,1,,,,,
15167,ARTCB,GA,2000,37446.76883,Asphalt and road oil total consumption.,Billion Btu,,,,,,,,
17657,ARTCD,GA,2000,3.63453,"Asphalt and road oil average price, all sectors.",Dollars per million Btu,,1,,,,,,
19847,ARTCP,GA,2000,5642.973,Asphalt and road oil total consumption.,Thousand barrels,,,,,,,,
22337,ARTCV,GA,2000,136.1014,Asphalt and road oil total expenditures.,Million dollars,,,1,,,,,
24527,ARTXB,GA,2000,37446.76883,Asphalt and road oil total end-use consumption.,Billion Btu,,,,,,,,
27017,ARTXD,GA,2000,3.63453,"Asphalt and road oil average price, all end-use sectors.",Dollars per million Btu,,1,,,,,,
29207,ARTXP,GA,2000,5642.973,Asphalt and road oil total end-use consumption.,Thousand barrels,,,,,,,,
31697,ARTXV,GA,2000,136.1014,Asphalt and road oil total end-use expenditures.,Million dollars,,,1,,,,,
36377,AVACD,GA,2000,10.86609,Aviation gasoline price in the transportation sector.,Dollars per million Btu,,1,,,,,,
41057,AVACV,GA,2000,5.83494,Aviation gasoline expenditures in the transportation sector.,Million dollars,,,1,,,,,
43247,AVTCB,GA,2000,536.98625,Aviation gasoline total consumption.,Billion Btu,,,,,,,,
45737,AVTCD,GA,2000,10.86609,"Aviation gasoline average price, all sectors.",Dollars per million Btu,,1,,,,,,
47927,AVTCP,GA,2000,106.37604,Aviation gasoline total consumption.,Thousand barrels,,,,,,,,
50417,AVTCV,GA,2000,5.83494,Aviation gasoline total expenditures.,Million dollars,,,1,,,,,
52607,AVTXB,GA,2000,536.98625,Aviation gasoline total end-use consumption.,Billion Btu,,,,,,,,
55097,AVTXD,GA,2000,10.86609,"Aviation gasoline average price, all end-use sectors.",Dollars per million Btu,,1,,,,,,
57287,AVTXP,GA,2000,106.37604,Aviation gasoline total end-use consumption.,Thousand barrels,,,,,,,,
59777,AVTXV,GA,2000,5.83494,Aviation gasoline total end-use expenditures.,Million dollars,,,1,,,,,
61967,BMTCB,GA,2000,196884.4458,Biomass total consumption,Billion Btu,,,,,,,,
